chr,start,end,name,score,strand,sample
chrII,7733,10847,*,100,*,not_orf
chrII,13879,14241,*,100,*,not_orf
chrII,17696,22076,*,100,*,not_orf
chrII,23536,24098,*,100,*,not_orf
chrII,24745,24946,*,100,*,not_orf
chrII,38690,39145,*,100,*,not_orf
chrII,40527,40831,*,100,*,not_orf
chrII,43095,44256,*,100,*,not_orf
chrII,44918,45978,*,100,*,not_orf
chrII,46370,46565,*,100,*,not_orf
chrII,47180,47363,*,100,*,not_orf
chrII,48628,48825,*,100,*,not_orf
chrII,49358,49574,*,100,*,not_orf
chrII,50953,51019,*,100,*,not_orf
chrII,59382,59822,*,100,*,not_orf
chrII,60739,63876,*,100,*,not_orf
chrII,66818,67169,*,100,*,not_orf
chrII,69445,69751,*,100,*,not_orf
chrII,71127,73070,*,100,*,not_orf
chrII,74695,75259,*,100,*,not_orf
chrII,79767,80378,*,100,*,not_orf
chrII,80731,81043,*,100,*,not_orf
chrII,84261,84499,*,100,*,not_orf
chrII,86448,86722,*,100,*,not_orf
chrII,87789,88523,*,100,*,not_orf
chrII,89125,89978,*,100,*,not_orf
chrII,90226,90741,*,100,*,not_orf
chrII,92030,92414,*,100,*,not_orf
chrII,93394,93639,*,100,*,not_orf
chrII,95882,100115,*,100,*,not_orf
chrII,96669,100371,*,100,*,not_orf
chrII,101156,101886,*,100,*,not_orf
chrII,105221,105316,*,100,*,not_orf
chrII,107406,107932,*,100,*,not_orf
chrII,109995,110125,*,100,*,not_orf
chrII,110539,111437,*,100,*,not_orf
chrII,112708,112801,*,100,*,not_orf
chrII,113427,113762,*,100,*,not_orf
chrII,115168,115573,*,100,*,not_orf
chrII,116829,117589,*,100,*,not_orf
chrII,119166,119379,*,100,*,not_orf
chrII,121874,122753,*,100,*,not_orf
chrII,124759,125125,*,100,*,not_orf
chrII,126119,126828,*,100,*,not_orf
chrII,127244,127895,*,100,*,not_orf
chrII,132040,132424,*,100,*,not_orf
chrII,133749,134143,*,100,*,not_orf
chrII,135516,136688,*,100,*,not_orf
chrII,137461,138341,*,100,*,not_orf
chrII,140260,141247,*,100,*,not_orf
chrII,141972,142112,*,100,*,not_orf
chrII,142868,143989,*,100,*,not_orf
chrII,145728,146187,*,100,*,not_orf
chrII,146885,147209,*,100,*,not_orf
chrII,150286,150447,*,100,*,not_orf
chrII,151220,151493,*,100,*,not_orf
chrII,153610,153848,*,100,*,not_orf
chrII,158389,158656,*,100,*,not_orf
chrII,159693,160184,*,100,*,not_orf
chrII,161329,161699,*,100,*,not_orf
chrII,162715,163041,*,100,*,not_orf
chrII,163997,167518,*,100,*,not_orf
chrII,167838,168423,*,100,*,not_orf
chrII,169376,170623,*,100,*,not_orf
chrII,171038,171481,*,100,*,not_orf
chrII,171918,172534,*,100,*,not_orf
chrII,174588,174920,*,100,*,not_orf
chrII,177526,177874,*,100,*,not_orf
chrII,181275,181660,*,100,*,not_orf
chrII,182094,182401,*,100,*,not_orf
chrII,184125,184353,*,100,*,not_orf
chrII,185915,185998,*,100,*,not_orf
chrII,186474,186844,*,100,*,not_orf
chrII,191583,192451,*,100,*,not_orf
chrII,193512,194122,*,100,*,not_orf
chrII,195702,199064,*,100,*,not_orf
chrII,201748,202056,*,100,*,not_orf
chrII,203261,203538,*,100,*,not_orf
chrII,205817,207194,*,100,*,not_orf
chrII,209224,209653,*,100,*,not_orf
chrII,212175,212632,*,100,*,not_orf
chrII,216366,216587,*,100,*,not_orf
chrII,217129,217470,*,100,*,not_orf
chrII,235117,235394,*,100,*,not_orf
chrII,235792,236492,*,100,*,not_orf
chrII,236887,237153,*,100,*,not_orf
chrII,237467,238941,*,100,*,not_orf
chrII,241283,241708,*,100,*,not_orf
chrII,242568,242809,*,100,*,not_orf
chrII,244230,244366,*,100,*,not_orf
chrII,245667,245906,*,100,*,not_orf
chrII,246547,247010,*,100,*,not_orf
chrII,248503,252563,*,100,*,not_orf
chrII,254209,255373,*,100,*,not_orf
chrII,255684,256331,*,100,*,not_orf
chrII,256741,257112,*,100,*,not_orf
chrII,267336,267710,*,100,*,not_orf
chrII,269503,270247,*,100,*,not_orf
chrII,270633,270947,*,100,*,not_orf
chrII,273703,274427,*,100,*,not_orf
chrII,275527,276253,*,100,*,not_orf
chrII,278352,279021,*,100,*,not_orf
chrII,280607,281443,*,100,*,not_orf
chrII,283344,283738,*,100,*,not_orf
chrII,284271,284428,*,100,*,not_orf
chrII,287925,289445,*,100,*,not_orf
chrII,290350,290681,*,100,*,not_orf
chrII,291865,292877,*,100,*,not_orf
chrII,294019,296369,*,100,*,not_orf
chrII,297742,298292,*,100,*,not_orf
chrII,299950,300166,*,100,*,not_orf
chrII,301254,304930,*,100,*,not_orf
chrII,305976,306269,*,100,*,not_orf
chrII,306955,309081,*,100,*,not_orf
chrII,310313,310565,*,100,*,not_orf
chrII,311452,311898,*,100,*,not_orf
chrII,314789,315575,*,100,*,not_orf
chrII,316510,316968,*,100,*,not_orf
chrII,317864,318266,*,100,*,not_orf
chrII,320275,320416,*,100,*,not_orf
chrII,321609,321876,*,100,*,not_orf
chrII,323945,324341,*,100,*,not_orf
chrII,326059,328173,*,100,*,not_orf
chrII,330092,330507,*,100,*,not_orf
chrII,331511,332831,*,100,*,not_orf
chrII,333812,334386,*,100,*,not_orf
chrII,336818,337183,*,100,*,not_orf
chrII,338199,338720,*,100,*,not_orf
chrII,339352,343101,*,100,*,not_orf
chrII,344135,344602,*,100,*,not_orf
chrII,347301,352193,*,100,*,not_orf
chrII,353293,353672,*,100,*,not_orf
chrII,356017,356324,*,100,*,not_orf
chrII,356566,356861,*,100,*,not_orf
chrII,360187,360652,*,100,*,not_orf
chrII,362514,364787,*,100,*,not_orf
chrII,365719,368584,*,100,*,not_orf
chrII,369678,370037,*,100,*,not_orf
chrII,370699,372103,*,100,*,not_orf
chrII,372735,373861,*,100,*,not_orf
chrII,375690,376574,*,100,*,not_orf
chrII,378433,379221,*,100,*,not_orf
chrII,379934,382030,*,100,*,not_orf
chrII,382674,383112,*,100,*,not_orf
chrII,385988,390227,*,100,*,not_orf
chrII,391291,391805,*,100,*,not_orf
chrII,392293,393123,*,100,*,not_orf
chrII,394742,395383,*,100,*,not_orf
chrII,398277,398614,*,100,*,not_orf
chrII,400890,401253,*,100,*,not_orf
chrII,405251,406628,*,100,*,not_orf
chrII,407169,409169,*,100,*,not_orf
chrII,410629,411054,*,100,*,not_orf
chrII,413981,414186,*,100,*,not_orf
chrII,415261,415983,*,100,*,not_orf
chrII,416906,420201,*,100,*,not_orf
chrII,423041,423765,*,100,*,not_orf
chrII,424829,424990,*,100,*,not_orf
chrII,425766,426190,*,100,*,not_orf
chrII,426489,427155,*,100,*,not_orf
chrII,427484,427698,*,100,*,not_orf
chrII,429101,429548,*,100,*,not_orf
chrII,430951,432036,*,100,*,not_orf
chrII,434297,434406,*,100,*,not_orf
chrII,435698,436951,*,100,*,not_orf
chrII,441315,441515,*,100,*,not_orf
chrII,443590,443821,*,100,*,not_orf
chrII,444693,445062,*,100,*,not_orf
chrII,447323,447709,*,100,*,not_orf
chrII,449316,449667,*,100,*,not_orf
chrII,450656,450881,*,100,*,not_orf
chrII,451969,452658,*,100,*,not_orf
chrII,453224,453793,*,100,*,not_orf
chrII,454530,454822,*,100,*,not_orf
chrII,457665,457919,*,100,*,not_orf
chrII,458362,458872,*,100,*,not_orf
chrII,460221,461178,*,100,*,not_orf
chrII,461873,462139,*,100,*,not_orf
chrII,462579,462870,*,100,*,not_orf
chrII,465770,467248,*,100,*,not_orf
chrII,469620,469748,*,100,*,not_orf
chrII,473926,474392,*,100,*,not_orf
chrII,476437,477671,*,100,*,not_orf
chrII,479047,479338,*,100,*,not_orf
chrII,480323,480435,*,100,*,not_orf
chrII,480923,481364,*,100,*,not_orf
chrII,483367,483970,*,100,*,not_orf
chrII,484503,484742,*,100,*,not_orf
chrII,486691,487199,*,100,*,not_orf
chrII,488380,488905,*,100,*,not_orf
chrII,490392,491269,*,100,*,not_orf
chrII,492822,493081,*,100,*,not_orf
chrII,494115,494353,*,100,*,not_orf
chrII,495339,495592,*,100,*,not_orf
chrII,496869,497163,*,100,*,not_orf
chrII,499277,499652,*,100,*,not_orf
chrII,501442,501804,*,100,*,not_orf
chrII,504287,504854,*,100,*,not_orf
chrII,505306,505668,*,100,*,not_orf
chrII,512774,513044,*,100,*,not_orf
chrII,513583,515664,*,100,*,not_orf
chrII,517190,517350,*,100,*,not_orf
chrII,526628,528317,*,100,*,not_orf
chrII,530638,530869,*,100,*,not_orf
chrII,532182,533762,*,100,*,not_orf
chrII,534817,535260,*,100,*,not_orf
chrII,536096,536575,*,100,*,not_orf
chrII,537465,537876,*,100,*,not_orf
chrII,539705,539987,*,100,*,not_orf
chrII,541021,541209,*,100,*,not_orf
chrII,544493,545028,*,100,*,not_orf
chrII,545978,546376,*,100,*,not_orf
chrII,547251,547460,*,100,*,not_orf
chrII,548194,548362,*,100,*,not_orf
chrII,549009,549771,*,100,*,not_orf
chrII,550928,551104,*,100,*,not_orf
chrII,553200,553543,*,100,*,not_orf
chrII,554310,556549,*,100,*,not_orf
chrII,558198,558685,*,100,*,not_orf
chrII,559728,560078,*,100,*,not_orf
chrII,560974,561634,*,100,*,not_orf
chrII,562764,563203,*,100,*,not_orf
chrII,564570,565231,*,100,*,not_orf
chrII,565428,565723,*,100,*,not_orf
chrII,567480,567875,*,100,*,not_orf
chrII,568426,568852,*,100,*,not_orf
chrII,569685,569842,*,100,*,not_orf
chrII,571200,571468,*,100,*,not_orf
chrII,571890,572371,*,100,*,not_orf
chrII,573612,573915,*,100,*,not_orf
chrII,575996,576344,*,100,*,not_orf
chrII,578086,578364,*,100,*,not_orf
chrII,578984,579150,*,100,*,not_orf
chrII,581372,581726,*,100,*,not_orf
chrII,582172,582408,*,100,*,not_orf
chrII,583355,583720,*,100,*,not_orf
chrII,584658,584807,*,100,*,not_orf
chrII,586162,586547,*,100,*,not_orf
chrII,589114,589741,*,100,*,not_orf
chrII,591459,591712,*,100,*,not_orf
chrII,592774,593506,*,100,*,not_orf
chrII,594864,596115,*,100,*,not_orf
chrII,597065,599123,*,100,*,not_orf
chrII,599959,600553,*,100,*,not_orf
chrII,602360,603685,*,100,*,not_orf
chrII,604107,604508,*,100,*,not_orf
chrII,605508,606270,*,100,*,not_orf
chrII,607140,607652,*,100,*,not_orf
chrII,608785,609082,*,100,*,not_orf
chrII,609753,610038,*,100,*,not_orf
chrII,610409,610614,*,100,*,not_orf
chrII,611882,612236,*,100,*,not_orf
chrII,613900,616127,*,100,*,not_orf
chrII,618523,618909,*,100,*,not_orf
chrII,620303,620872,*,100,*,not_orf
chrII,622527,623576,*,100,*,not_orf
chrII,624211,625772,*,100,*,not_orf
chrII,628309,629168,*,100,*,not_orf
chrII,631942,632254,*,100,*,not_orf
chrII,633381,633622,*,100,*,not_orf
chrII,634836,635146,*,100,*,not_orf
chrII,636543,636703,*,100,*,not_orf
chrII,642210,645550,*,100,*,not_orf
chrII,645978,646158,*,100,*,not_orf
chrII,647132,647886,*,100,*,not_orf
chrII,649904,650368,*,100,*,not_orf
chrII,651192,651415,*,100,*,not_orf
chrII,652998,653356,*,100,*,not_orf
chrII,655317,655576,*,100,*,not_orf
chrII,657600,657832,*,100,*,not_orf
chrII,658392,658707,*,100,*,not_orf
chrII,662249,665153,*,100,*,not_orf
chrII,666253,666720,*,100,*,not_orf
chrII,668351,668663,*,100,*,not_orf
chrII,670297,673572,*,100,*,not_orf
chrII,675134,675313,*,100,*,not_orf
chrII,676227,676357,*,100,*,not_orf
chrII,679221,679549,*,100,*,not_orf
chrII,680050,682179,*,100,*,not_orf
chrII,683090,683428,*,100,*,not_orf
chrII,684669,684977,*,100,*,not_orf
chrII,685261,685438,*,100,*,not_orf
chrII,686592,690383,*,100,*,not_orf
chrII,691693,691969,*,100,*,not_orf
chrII,694518,695107,*,100,*,not_orf
chrII,697302,700490,*,100,*,not_orf
chrII,701842,705447,*,100,*,not_orf
chrII,706793,707528,*,100,*,not_orf
chrII,708016,708150,*,100,*,not_orf
chrII,711539,713004,*,100,*,not_orf
chrII,714455,714807,*,100,*,not_orf
chrII,716465,716882,*,100,*,not_orf
chrII,717994,719033,*,100,*,not_orf
chrII,720604,721390,*,100,*,not_orf
chrII,722313,722611,*,100,*,not_orf
chrII,723054,723270,*,100,*,not_orf
chrII,723635,723736,*,100,*,not_orf
chrII,724263,724456,*,100,*,not_orf
chrII,726540,727386,*,100,*,not_orf
chrII,728102,728885,*,100,*,not_orf
chrII,729724,729734,*,100,*,not_orf
chrII,730162,732639,*,100,*,not_orf
chrII,734639,734832,*,100,*,not_orf
chrII,735530,735720,*,100,*,not_orf
chrII,736040,736264,*,100,*,not_orf
chrII,737736,737770,*,100,*,not_orf
chrII,738369,738582,*,100,*,not_orf
chrII,739544,739841,*,100,*,not_orf
chrII,741022,741299,*,100,*,not_orf
chrII,741616,746361,*,100,*,not_orf
chrII,747803,748061,*,100,*,not_orf
chrII,749371,749594,*,100,*,not_orf
chrII,751177,751356,*,100,*,not_orf
chrII,757106,757620,*,100,*,not_orf
chrII,760043,760294,*,100,*,not_orf
chrII,760899,761257,*,100,*,not_orf
chrII,762594,762784,*,100,*,not_orf
chrII,764697,764970,*,100,*,not_orf
chrII,767606,768240,*,100,*,not_orf
chrII,768680,768943,*,100,*,not_orf
chrII,770415,774700,*,100,*,not_orf
chrII,776313,778012,*,100,*,not_orf
chrII,779463,779667,*,100,*,not_orf
chrII,782384,782591,*,100,*,not_orf
chrII,783556,783673,*,100,*,not_orf
chrII,784572,787006,*,100,*,not_orf
chrII,788430,789235,*,100,*,not_orf
chrII,791814,792849,*,100,*,not_orf
chrII,796499,796798,*,100,*,not_orf
chrII,798522,800523,*,100,*,not_orf
chrII,801929,802631,*,100,*,not_orf
chrII,804475,805351,*,100,*,not_orf
chrII,807105,809057,*,100,*,not_orf
chrII,809419,810340,*,100,*,not_orf
chrIII,9706,12386,*,100,*,not_orf
chrIII,13018,13282,*,100,*,not_orf
chrIII,13809,15798,*,100,*,not_orf
chrIII,16880,17290,*,100,*,not_orf
chrIII,18561,18816,*,100,*,not_orf
chrIII,22106,22429,*,100,*,not_orf
chrIII,23379,23523,*,100,*,not_orf
chrIII,23925,24768,*,100,*,not_orf
chrIII,26906,27929,*,100,*,not_orf
chrIII,28936,31449,*,100,*,not_orf
chrIII,33974,34143,*,100,*,not_orf
chrIII,35393,35865,*,100,*,not_orf
chrIII,37616,37836,*,100,*,not_orf
chrIII,38801,42165,*,100,*,not_orf
chrIII,43556,44623,*,100,*,not_orf
chrIII,46905,47111,*,100,*,not_orf
chrIII,48364,48653,*,100,*,not_orf
chrIII,50221,50838,*,100,*,not_orf
chrIII,52340,52645,*,100,*,not_orf
chrIII,54882,54941,*,100,*,not_orf
chrIII,56527,57374,*,100,*,not_orf
chrIII,58678,59026,*,100,*,not_orf
chrIII,60726,60841,*,100,*,not_orf
chrIII,61173,61658,*,100,*,not_orf
chrIII,62722,62776,*,100,*,not_orf
chrIII,63282,63441,*,100,*,not_orf
chrIII,64481,64675,*,100,*,not_orf
chrIII,65568,65934,*,100,*,not_orf
chrIII,68333,68599,*,100,*,not_orf
chrIII,69921,70150,*,100,*,not_orf
chrIII,71367,71803,*,100,*,not_orf
chrIII,73341,74704,*,100,*,not_orf
chrIII,75285,76018,*,100,*,not_orf
chrIII,77919,79162,*,100,*,not_orf
chrIII,92418,92777,*,100,*,not_orf
chrIII,94270,94621,*,100,*,not_orf
chrIII,101788,102075,*,100,*,not_orf
chrIII,103358,103571,*,100,*,not_orf
chrIII,104350,104619,*,100,*,not_orf
chrIII,105548,105696,*,100,*,not_orf
chrIII,106853,107023,*,100,*,not_orf
chrIII,107417,108021,*,100,*,not_orf
chrIII,108791,109105,*,100,*,not_orf
chrIII,110670,111916,*,100,*,not_orf
chrIII,112482,117380,*,100,*,not_orf
chrIII,118348,118620,*,100,*,not_orf
chrIII,119171,119575,*,100,*,not_orf
chrIII,120318,120946,*,100,*,not_orf
chrIII,130281,130745,*,100,*,not_orf
chrIII,131542,132273,*,100,*,not_orf
chrIII,133124,133724,*,100,*,not_orf
chrIII,136873,137746,*,100,*,not_orf
chrIII,138996,139185,*,100,*,not_orf
chrIII,140933,144773,*,100,*,not_orf
chrIII,147634,148238,*,100,*,not_orf
chrIII,148903,152837,*,100,*,not_orf
chrIII,153928,154012,*,100,*,not_orf
chrIII,154659,154830,*,100,*,not_orf
chrIII,155096,155320,*,100,*,not_orf
chrIII,155556,156109,*,100,*,not_orf
chrIII,157107,158538,*,100,*,not_orf
chrIII,160373,160744,*,100,*,not_orf
chrIII,162222,162945,*,100,*,not_orf
chrIII,163067,164111,*,100,*,not_orf
chrIII,166339,167370,*,100,*,not_orf
chrIII,167999,170886,*,100,*,not_orf
chrIII,172424,172950,*,100,*,not_orf
chrIII,173440,173826,*,100,*,not_orf
chrIII,176438,177500,*,100,*,not_orf
chrIII,178220,179520,*,100,*,not_orf
chrIII,186023,186489,*,100,*,not_orf
chrIII,190169,190592,*,100,*,not_orf
chrIII,191635,191834,*,100,*,not_orf
chrIII,193018,193297,*,100,*,not_orf
chrIII,194298,194414,*,100,*,not_orf
chrIII,197185,197621,*,100,*,not_orf
chrIII,200178,200442,*,100,*,not_orf
chrIII,200969,201174,*,100,*,not_orf
chrIII,205397,206877,*,100,*,not_orf
chrIII,207950,208135,*,100,*,not_orf
chrIII,209610,209914,*,100,*,not_orf
chrIII,210423,210718,*,100,*,not_orf
chrIII,211545,211929,*,100,*,not_orf
chrIII,213761,214994,*,100,*,not_orf
chrIII,216445,216697,*,100,*,not_orf
chrIII,218241,218376,*,100,*,not_orf
chrIII,220067,220457,*,100,*,not_orf
chrIII,223228,223454,*,100,*,not_orf
chrIII,224230,224399,*,100,*,not_orf
chrIII,224734,228318,*,100,*,not_orf
chrIII,228791,229310,*,100,*,not_orf
chrIII,231004,231500,*,100,*,not_orf
chrIII,232963,233125,*,100,*,not_orf
chrIII,236322,237214,*,100,*,not_orf
chrIII,238776,239055,*,100,*,not_orf
chrIII,240011,240103,*,100,*,not_orf
chrIII,240543,240805,*,100,*,not_orf
chrIII,242352,242588,*,100,*,not_orf
chrIII,246583,246963,*,100,*,not_orf
chrIII,247910,248033,*,100,*,not_orf
chrIII,248815,250238,*,100,*,not_orf
chrIII,252628,252845,*,100,*,not_orf
chrIII,254173,254371,*,100,*,not_orf
chrIII,258654,258883,*,100,*,not_orf
chrIII,259269,259578,*,100,*,not_orf
chrIII,259961,260311,*,100,*,not_orf
chrIII,262452,263392,*,100,*,not_orf
chrIII,263964,265068,*,100,*,not_orf
chrIII,266846,267434,*,100,*,not_orf
chrIII,272263,274404,*,100,*,not_orf
chrIII,276566,276764,*,100,*,not_orf
chrIII,279820,280117,*,100,*,not_orf
chrIII,286443,286762,*,100,*,not_orf
chrIII,293538,293835,*,100,*,not_orf
chrIII,294321,297049,*,100,*,not_orf
chrIII,308175,309070,*,100,*,not_orf
chrIII,310155,310958,*,100,*,not_orf
chrIII,313456,313890,*,100,*,not_orf
chrIV,2953,5985,*,100,*,not_orf
chrIV,7814,11657,*,100,*,not_orf
chrIV,13360,16204,*,100,*,not_orf
chrIV,17226,17577,*,100,*,not_orf
chrIV,18566,22823,*,100,*,not_orf
chrIV,25876,26403,*,100,*,not_orf
chrIV,28775,28985,*,100,*,not_orf
chrIV,30454,30657,*,100,*,not_orf
chrIV,31829,32296,*,100,*,not_orf
chrIV,33234,33415,*,100,*,not_orf
chrIV,33918,34237,*,100,*,not_orf
chrIV,36477,38487,*,100,*,not_orf
chrIV,38597,38867,*,100,*,not_orf
chrIV,42244,42700,*,100,*,not_orf
chrIV,43707,44065,*,100,*,not_orf
chrIV,45906,46271,*,100,*,not_orf
chrIV,48031,51115,*,100,*,not_orf
chrIV,52173,52445,*,100,*,not_orf
chrIV,54100,54397,*,100,*,not_orf
chrIV,56346,57265,*,100,*,not_orf
chrIV,60405,60872,*,100,*,not_orf
chrIV,61801,62244,*,100,*,not_orf
chrIV,65018,65242,*,100,*,not_orf
chrIV,65765,67983,*,100,*,not_orf
chrIV,68606,68997,*,100,*,not_orf
chrIV,70319,70640,*,100,*,not_orf
chrIV,73918,74446,*,100,*,not_orf
chrIV,76545,77289,*,100,*,not_orf
chrIV,77966,78426,*,100,*,not_orf
chrIV,85985,86207,*,100,*,not_orf
chrIV,87226,87512,*,100,*,not_orf
chrIV,87982,88248,*,100,*,not_orf
chrIV,89864,92762,*,100,*,not_orf
chrIV,93745,94605,*,100,*,not_orf
chrIV,95786,96082,*,100,*,not_orf
chrIV,97953,98475,*,100,*,not_orf
chrIV,99224,100421,*,100,*,not_orf
chrIV,99561,100501,*,100,*,not_orf
chrIV,101067,103649,*,100,*,not_orf
chrIV,104551,104917,*,100,*,not_orf
chrIV,106494,107208,*,100,*,not_orf
chrIV,111029,111580,*,100,*,not_orf
chrIV,114234,114672,*,100,*,not_orf
chrIV,115799,116321,*,100,*,not_orf
chrIV,116866,117664,*,100,*,not_orf
chrIV,118517,118707,*,100,*,not_orf
chrIV,121592,122216,*,100,*,not_orf
chrIV,123589,123865,*,100,*,not_orf
chrIV,124998,126787,*,100,*,not_orf
chrIV,130002,130407,*,100,*,not_orf
chrIV,130484,130871,*,100,*,not_orf
chrIV,131833,133437,*,100,*,not_orf
chrIV,134723,135179,*,100,*,not_orf
chrIV,135436,138291,*,100,*,not_orf
chrIV,139205,139522,*,100,*,not_orf
chrIV,141114,142097,*,100,*,not_orf
chrIV,144223,144484,*,100,*,not_orf
chrIV,145518,145826,*,100,*,not_orf
chrIV,147589,148191,*,100,*,not_orf
chrIV,149078,149203,*,100,*,not_orf
chrIV,155640,156318,*,100,*,not_orf
chrIV,157904,158064,*,100,*,not_orf
chrIV,158735,159604,*,100,*,not_orf
chrIV,160764,160995,*,100,*,not_orf
chrIV,163154,163449,*,100,*,not_orf
chrIV,164042,164290,*,100,*,not_orf
chrIV,164865,164987,*,100,*,not_orf
chrIV,167254,167714,*,100,*,not_orf
chrIV,169078,170410,*,100,*,not_orf
chrIV,171930,172481,*,100,*,not_orf
chrIV,174028,176773,*,100,*,not_orf
chrIV,178056,178334,*,100,*,not_orf
chrIV,181039,181186,*,100,*,not_orf
chrIV,183018,183343,*,100,*,not_orf
chrIV,184611,184925,*,100,*,not_orf
chrIV,187918,188154,*,100,*,not_orf
chrIV,190586,190924,*,100,*,not_orf
chrIV,192261,192750,*,100,*,not_orf
chrIV,194225,194571,*,100,*,not_orf
chrIV,198176,199996,*,100,*,not_orf
chrIV,201582,201719,*,100,*,not_orf
chrIV,202570,203039,*,100,*,not_orf
chrIV,205111,205360,*,100,*,not_orf
chrIV,210561,211375,*,100,*,not_orf
chrIV,212046,213351,*,100,*,not_orf
chrIV,215642,216529,*,100,*,not_orf
chrIV,217074,217600,*,100,*,not_orf
chrIV,218367,218680,*,100,*,not_orf
chrIV,219288,219662,*,100,*,not_orf
chrIV,220771,221724,*,100,*,not_orf
chrIV,221801,224304,*,100,*,not_orf
chrIV,226751,227393,*,100,*,not_orf
chrIV,228715,229171,*,100,*,not_orf
chrIV,229431,229906,*,100,*,not_orf
chrIV,230527,232652,*,100,*,not_orf
chrIV,233887,234927,*,100,*,not_orf
chrIV,235853,236157,*,100,*,not_orf
chrIV,238664,239019,*,100,*,not_orf
chrIV,239606,240259,*,100,*,not_orf
chrIV,241197,241418,*,100,*,not_orf
chrIV,241840,242552,*,100,*,not_orf
chrIV,244981,245923,*,100,*,not_orf
chrIV,246447,248581,*,100,*,not_orf
chrIV,251238,251566,*,100,*,not_orf
chrIV,253746,253995,*,100,*,not_orf
chrIV,255126,256633,*,100,*,not_orf
chrIV,258555,258915,*,100,*,not_orf
chrIV,263225,263313,*,100,*,not_orf
chrIV,264110,264512,*,100,*,not_orf
chrIV,264964,267698,*,100,*,not_orf
chrIV,268699,268921,*,100,*,not_orf
chrIV,269976,270222,*,100,*,not_orf
chrIV,271901,272389,*,100,*,not_orf
chrIV,273597,273653,*,100,*,not_orf
chrIV,274876,275148,*,100,*,not_orf
chrIV,276581,276872,*,100,*,not_orf
chrIV,280165,280307,*,100,*,not_orf
chrIV,281848,282112,*,100,*,not_orf
chrIV,283176,283419,*,100,*,not_orf
chrIV,284444,284581,*,100,*,not_orf
chrIV,285165,285391,*,100,*,not_orf
chrIV,286695,287059,*,100,*,not_orf
chrIV,289512,289909,*,100,*,not_orf
chrIV,292140,292781,*,100,*,not_orf
chrIV,293221,293392,*,100,*,not_orf
chrIV,294759,295034,*,100,*,not_orf
chrIV,296329,296820,*,100,*,not_orf
chrIV,298274,298417,*,100,*,not_orf
chrIV,300003,300214,*,100,*,not_orf
chrIV,300999,303211,*,100,*,not_orf
chrIV,304848,305237,*,100,*,not_orf
chrIV,306577,306926,*,100,*,not_orf
chrIV,307789,308424,*,100,*,not_orf
