chr,start,end,name,score,strand,common_name,sample
chrI,174296,174996,YAR019W-A,100,+,YAR019W-A,yiming
chrI,175133,175833,YAR019C,100,-,CDC15,yiming
chrI,177021,177721,YAR020C,100,-,PAU7,yiming
chrI,179818,180518,YAR023C,100,-,YAR023C,yiming
chrI,183064,183764,YAR027W,100,+,UIP3,yiming
chrI,184471,184886,YAR028W,100,+,YAR028W,yiming
chrI,185615,186315,YAR029W,100,+,YAR029W,yiming
chrI,186539,186830,YAR031W,100,+,PRM9,yiming
chrI,186847,187547,YAR030C,100,-,YAR030C,yiming
chrI,187726,188101,YAR033W,100,+,MST28,yiming
chrI,189487,190187,YAR035W,100,+,YAT1,yiming
chrI,192411,192613,YAR035C-A,100,-,YAR035C-A,yiming
chrI,192411,192613,YAR042W,100,+,SWH1,yiming
chrI,201780,202480,YAR047C,100,-,YAR047C,yiming
chrI,202694,203394,YAR050W,100,+,FLO1,yiming
chrI,208007,208358,YAR053W,100,+,YAR053W,yiming
chrI,217483,218131,YAR060C,100,-,YAR060C,yiming
chrI,217483,218131,YAR061W,100,+,YAR061W,yiming
chrI,218334,218540,YAR062W,100,+,YAR062W,yiming
chrI,219489,220189,YAR064W,100,+,YAR064W,yiming
chrI,220488,221040,YAR066W,100,+,YAR066W,yiming
chrI,221697,222397,YAR068W,100,+,YAR068W,yiming
chrI,224295,224554,YAR069C,100,-,YAR069C,yiming
chrI,224853,225451,YAR070C,100,-,YAR070C,yiming
chrI,224853,225451,YAR071W,100,+,PHO11,yiming
chrI,227033,227733,YAR073W,100,+,YAR073W,yiming
chrI,228135,228835,YAR075W,100,+,YAR075W,yiming
chrX,129,829,YJL225W-A,100,+,YJL225W-A,yiming
chrX,6130,6830,YJL225C,100,-,YJL225C,yiming
chrX,9138,9346,YJL223C,100,-,PAU1,yiming
chrX,9138,9346,YJL222W-B,100,+,YJL222W-B,yiming
chrX,9138,9452,YJL222W-A,100,+,YJL222W-A,yiming
chrX,10775,11475,YJL222W,100,+,VTH2,yiming
chrX,17543,18243,YJL220W,100,+,YJL220W,yiming
chrX,18536,19236,YJL221C,100,-,IMA4,yiming
chrX,18797,19497,YJL219W,100,+,HXT9,yiming
chrX,21273,21973,YJL218W,100,+,YJL218W,yiming
chrX,22563,23133,YJL217W,100,+,REE1,yiming
chrX,26086,26412,YJL216C,100,-,IMA5,yiming
chrX,26771,26887,YJL215C,100,-,YJL215C,yiming
chrX,26771,26887,YJL214W,100,+,HXT8,yiming
chrX,31463,32163,YJL213W,100,+,YJL213W,yiming
chrX,36249,36757,YJL212C,100,-,OPT1,yiming
chrX,36249,36919,YJL210W,100,+,PEX2,yiming
chrX,37200,37900,YJL211C,100,-,YJL211C,yiming
chrX,37734,38005,YJL209W,100,+,CBP1,yiming
chrX,41183,41389,YJL208C,100,-,NUC1,yiming
chrX,47433,47659,YJL207C,100,-,LAA1,yiming
chrX,49935,50139,YJL206C,100,-,YJL206C,yiming
chrX,50443,50629,YJL205C,100,-,NCE101,yiming
chrX,53151,53341,YJL204C,100,-,RCY1,yiming
chrX,53151,53341,YJL203W,100,+,PRP21,yiming
chrX,54290,54379,YJL202C,100,-,YJL202C,yiming
chrX,54290,54379,YJL201W,100,+,ECM25,yiming
chrX,58813,59513,YJL200C,100,-,ACO2,yiming
chrX,60181,60843,YJL199C,100,-,MBB1,yiming
chrX,60181,60843,YJL198W,100,+,PHO90,yiming
chrX,63488,63804,YJL197W,100,+,UBP12,yiming
chrX,66085,66785,YJL197C-A,100,-,YJL197C-A,yiming
chrX,68781,69240,YJL196C,100,-,ELO1,yiming
chrX,68781,69337,YJL194W,100,+,CDC6,yiming
chrX,69941,70641,YJL195C,100,-,YJL195C,yiming
chrX,70878,71365,YJL193W,100,+,YJL193W,yiming
chrX,73413,73786,YJL192C,100,-,SOP4,yiming
chrX,73413,73786,YJL191W,100,+,RPS14B,yiming
chrX,75301,75932,YJL190C,100,-,RPS22A,yiming
chrX,75301,75932,YJL189W,100,+,RPL39,yiming
chrX,76509,76802,YJL188C,100,-,YJL188C,yiming
chrX,79261,79961,YJL187C,100,-,SWE1,yiming
chrX,79453,80153,YJL186W,100,+,MNN5,yiming
chrX,82974,83446,YJL185C,100,-,ATG36,yiming
chrX,82974,83446,YJL184W,100,+,GON7,yiming
chrX,83817,84066,YJL183W,100,+,MNN11,yiming
chrX,85334,85658,unknown_168,100,+,RBH1,yiming
chrX,85750,86450,YJL182C,100,-,YJL182C,yiming
chrX,88558,88785,YJL180C,100,-,ATP12,yiming
chrX,88558,88785,YJL179W,100,+,PFD1,yiming
chrX,90095,90784,YJL178C,100,-,ATG27,yiming
chrX,90095,90784,YJL177W,100,+,RPL17B,yiming
chrX,93347,94047,YJL175W,100,+,YJL175W,yiming
chrX,94528,95090,YJL176C,100,-,SWI3,yiming
chrX,94559,95090,YJL174W,100,+,KRE9,yiming
chrX,96527,97227,YJL173C,100,-,RFA3,yiming
chrX,97031,97731,YJL172W,100,+,CPS1,yiming
chrX,100888,101144,YJL171C,100,-,TOH1,yiming
chrX,101773,102093,YJL170C,100,-,ASG7,yiming
chrX,101773,102093,YJL169W,100,+,YJL169W,yiming
chrX,104422,105008,YJL168C,100,-,SET2,yiming
chrX,104422,105008,YJL167W,100,+,ERG20,yiming
chrX,106066,106428,YJL166W,100,+,QCR8,yiming
chrX,109455,109960,YJL165C,100,-,HAL5,yiming
chrX,111153,111662,YJL164C,100,-,TPK1,yiming
chrX,113329,113874,YJL163C,100,-,YJL163C,yiming
chrX,115625,116325,YJL162C,100,-,JJJ2,yiming
chrX,116541,117241,YJL161W,100,+,FMP33,yiming
chrX,118821,119521,YJL160C,100,-,PIR5,yiming
chrX,119745,120445,YJL159W,100,+,HSP150,yiming
chrX,122944,123644,YJL158C,100,-,CIS3,yiming
chrX,126324,126600,YJL157C,100,-,FAR1,yiming
chrX,126324,126600,YJL156W-A,100,+,YJL156W-A,yiming
chrX,128949,129282,YJL156C,100,-,SSY5,yiming
chrX,130640,131098,YJL155C,100,-,FBP26,yiming
chrX,133932,134329,YJL154C,100,-,VPS35,yiming
chrX,135930,136171,YJL153C,100,-,INO1,yiming
chrX,135930,136171,YJL152W,100,+,YJL152W,yiming
chrX,136770,137120,YJL151C,100,-,SNA3,yiming
chrX,136770,137120,YJL150W,100,+,YJL150W,yiming
chrX,136770,137376,YJL149W,100,+,DAS1,yiming
chrX,139734,140434,YJL148W,100,+,RPA34,yiming
chrX,142564,143264,unknown_204,100,-,SMT1,yiming
chrX,142589,143289,YJL146W,100,+,IDS2,yiming
chrX,144698,145157,YJL145W,100,+,SFH5,yiming
chrX,146041,146356,unknown_207,100,+,ROQ1,yiming
chrX,146670,147098,YJL143W,100,+,TIM17,yiming
chrX,148208,148908,YJL142C,100,-,IRC9,yiming
chrX,150387,150958,YJL141C,100,-,YAK1,yiming
chrX,150387,150958,YJL140W,100,+,RPB4,yiming
chrX,152996,153501,YJL139C,100,-,YUR1,yiming
chrX,154688,154982,YJL138C,100,-,TIF2,yiming
chrX,156124,156166,YJL137C,100,-,GLG2,yiming
chrX,156124,156166,YJL136W-A,100,+,YJL136W-A,yiming
chrX,157270,157874,YJL136C,100,-,RPS21B,yiming
chrX,157270,157874,YJL135W,100,+,YJL135W,yiming
chrX,157485,158185,YJL134W,100,+,LCB3,yiming
chrX,159844,160544,unknown_219,100,-,DPI8,yiming
chrX,159916,160616,YJL133W,100,+,MRS3,yiming
chrX,161560,161911,YJL132W,100,+,YJL132W,yiming
chrX,165345,165720,YJL131C,100,-,AIM23,yiming
chrX,172364,173064,YJL130C,100,-,URA2,yiming
chrX,177303,178003,YJL129C,100,-,TRK1,yiming
chrX,180100,180191,YJL128C,100,-,PBS2,yiming
chrX,180100,180191,YJL127W-A,100,+,YJL127W-A,yiming
chrX,181707,182296,unknown_227,100,-,MCO6,yiming
chrX,184218,184499,YJL127C,100,-,SPT10,yiming
chrX,184218,184499,YJL126W,100,+,NIT2,yiming
chrX,186677,187125,YJL125C,100,-,GCD14,yiming
chrX,187643,188003,YJL124C,100,-,LSM1,yiming
chrX,189439,189715,YJL123C,100,-,MTC1,yiming
chrX,189439,189715,YJL122W,100,+,ALB1,yiming
chrX,190321,191021,YJL120W,100,+,YJL120W,yiming
chrX,191089,191571,YJL121C,100,-,RPE1,yiming
chrX,191344,191638,YJL118W,100,+,YJL118W,yiming
chrX,191894,192530,YJL119C,100,-,YJL119C,yiming
chrX,192297,192530,YJL117W,100,+,PHO86,yiming
chrX,194872,195572,YJL116C,100,-,NCA3,yiming
chrX,195585,196285,YJL115W,100,+,ASF1,yiming
chrX,197213,197913,YJL114W,100,+,YJL114W,yiming
chrX,197213,197913,YJL113W,100,+,YJL113W,yiming
chrX,204601,205301,YJL112W,100,+,MDV1,yiming
chrX,207445,207873,YJL111W,100,+,CCT7,yiming
chrX,211573,211996,YJL110C,100,-,GZF3,yiming
chrX,217305,217701,YJL109C,100,-,UTP10,yiming
chrX,218852,219552,YJL108C,100,-,PRM10,yiming
chrX,220012,220712,YJL107C,100,-,YJL107C,yiming
chrX,220686,221386,YJL106W,100,+,IME2,yiming
chrX,224351,225051,YJL105W,100,+,SET4,yiming
chrX,226733,227323,YJL104W,100,+,PAM16,yiming
chrX,230877,231297,YJL103C,100,-,GSM1,yiming
chrX,230877,231297,YJL102W,100,+,MEF2,yiming
chrX,236352,237052,YJL101C,100,-,GSH1,yiming
chrX,236559,237259,YJL100W,100,+,LSB6,yiming
chrX,239082,239410,YJL099W,100,+,CHS6,yiming
chrX,241650,242078,YJL098W,100,+,SAP185,yiming
chrX,245254,245587,YJL097W,100,+,PHS1,yiming
chrX,246240,246486,YJL096W,100,+,MRPL49,yiming
chrX,246971,247250,YJL095W,100,+,BCK1,yiming
chrX,254437,254732,YJL094C,100,-,KHA1,yiming
chrX,256807,257418,YJL093C,100,-,TOK1,yiming
chrX,256807,257418,YJL092W,100,+,SRS2,yiming
chrX,262547,262752,YJL091C,100,-,GWT1,yiming
chrX,265046,265746,YJL090C,100,-,DPB11,yiming
chrX,265221,265921,YJL089W,100,+,SIP4,yiming
chrX,268410,268794,YJL088W,100,+,ARG3,yiming
chrX,272480,272822,YJL087C,100,-,TRL1,yiming
chrX,272480,272822,YJL085W,100,+,EXO70,yiming
chrX,272841,273541,YJL086C,100,-,YJL086C,yiming
chrX,277997,278697,YJL084C,100,-,ALY2,yiming
chrX,278136,278836,YJL083W,100,+,TAX4,yiming
chrX,280650,281180,YJL082W,100,+,IML2,yiming
chrX,285266,285553,YJL081C,100,-,ARP4,yiming
chrX,289221,289870,YJL080C,100,-,SCP160,yiming
chrX,290769,291331,YJL079C,100,-,PRY1,yiming
chrX,293976,294042,YJL078C,100,-,PRY3,yiming
chrX,293976,294042,YJL077W-B,100,+,YJL077W-B,yiming
chrX,294140,294794,YJL077W-A,100,+,YJL077W-A,yiming
chrX,295056,295240,YJL077C,100,-,ICS3,yiming
chrX,295056,295240,YJL076W,100,+,NET1,yiming
chrX,298871,299152,YJL075C,100,-,APQ13,yiming
chrX,302844,303176,YJL074C,100,-,SMC3,yiming
chrX,302844,303176,YJL073W,100,+,JEM1,yiming
chrX,305857,306127,YJL072C,100,-,PSF2,yiming
chrX,305857,306127,YJL071W,100,+,ARG2,yiming
chrX,310632,310917,YJL070C,100,-,YJL070C,yiming
chrX,312701,313011,YJL069C,100,-,UTP18,yiming
chrX,313910,314079,YJL068C,100,-,YJL068C,yiming
chrX,313910,314079,YJL067W,100,+,YJL067W,yiming
chrX,314867,315049,YJL066C,100,-,MPM1,yiming
chrX,314867,315170,YJL064W,100,+,YJL064W,yiming
chrX,315552,315754,YJL065C,100,-,DLS1,yiming
chrX,316470,316718,YJL063C,100,-,MRPL8,yiming
chrX,316470,316718,YJL062W-A,100,+,COA3,yiming
chrX,316975,317279,YJL062W,100,+,LAS21,yiming
chrX,319771,320011,YJL061W,100,+,NUP82,yiming
chrX,322681,323381,YJL060W,100,+,BNA3,yiming
chrX,324715,324959,YJL059W,100,+,YHC3,yiming
chrX,327868,328113,YJL058C,100,-,BIT61,yiming
chrX,330116,330426,YJL057C,100,-,IKS1,yiming
chrX,333068,333352,YJL056C,100,-,ZAP1,yiming
chrX,333068,333352,unknown_303,100,+,LOG1,yiming
chrX,334089,334260,YJL054W,100,+,TIM54,yiming
chrX,335696,335893,YJL053W,100,+,PEP8,yiming
chrX,337998,338266,YJL052C-A,100,-,YJL052C-A,yiming
chrX,337998,338266,YJL052W,100,+,TDH1,yiming
chrX,339264,339782,YJL051W,100,+,IRC8,yiming
chrX,342250,342517,YJL050W,100,+,MTR4,yiming
chrX,345738,345968,YJL049W,100,+,CHM7,yiming
chrX,348632,349039,YJL048C,100,-,UBX6,yiming
chrX,349173,349575,YJL047C-A,100,-,YJL047C-A,yiming
chrX,352103,352381,YJL047C,100,-,RTT101,yiming
chrX,352103,352381,YJL046W,100,+,AIM22,yiming
chrX,355319,356019,unknown_315,100,+,SDH9,yiming
chrX,359671,360125,YJL044C,100,-,GYP6,yiming
chrX,359671,360125,YJL043W,100,+,YJL043W,yiming
chrX,360898,361244,YJL042W,100,+,MHP1,yiming
chrX,365440,365779,YJL041W,100,+,NSP1,yiming
chrX,373794,374494,YJL039C,100,-,NUP192,yiming
chrX,375769,376469,YJL038C,100,-,LOH1,yiming
chrX,375957,376657,YJL037W,100,+,IRC18,yiming
chrX,378120,378820,YJL036W,100,+,SNX4,yiming
chrX,380996,381322,YJL035C,100,-,TAD2,yiming
chrX,380996,381322,YJL034W,100,+,KAR2,yiming
chrX,383370,383832,YJL033W,100,+,HCA4,yiming
chrX,386144,386343,YJL032W,100,+,YJL032W,yiming
chrX,387433,387652,YJL031C,100,-,BET4,yiming
chrX,387433,387652,YJL030W,100,+,MAD2,yiming
chrX,390848,391306,YJL029C,100,-,VPS53,yiming
chrX,390848,391306,YJL028W,100,+,YJL028W,yiming
chrX,392244,392399,YJL027C,100,-,YJL027C,yiming
chrX,392244,392399,YJL026W,100,+,RNR2,yiming
chrX,393282,393962,YJL026C-A,100,-,YJL026C-A,yiming
chrX,393598,393962,YJL025W,100,+,RRN7,yiming
chrX,396587,397287,YJL024C,100,-,APS3,yiming
chrX,397404,398104,YJL022W,100,+,YJL022W,yiming
chrX,398393,398932,YJL023C,100,-,PET130,yiming
chrX,400276,400976,YJL020W-A,100,+,YJL020W-A,yiming
chrX,402405,402892,YJL020C,100,-,BBC1,yiming
chrX,402405,402892,YJL019W,100,+,MPS3,yiming
chrX,404940,405583,unknown_342,100,+,TPH3,yiming
chrX,407511,407552,YJL015C,100,-,YJL015C,yiming
chrX,407511,407552,YJL014W,100,+,CCT3,yiming
chrX,411034,411228,YJL013C,100,-,MAD3,yiming
chrX,413393,414093,YJL012C,100,-,VTC4,yiming
chrX,414764,415464,YJL011C,100,-,RPC17,yiming
chrX,419556,419849,YJL010C,100,-,NOP9,yiming
chrX,419556,419849,YJL009W,100,+,YJL009W,yiming
chrX,421657,422357,YJL008C,100,-,CCT8,yiming
chrX,423006,423132,YJL007C,100,-,YJL007C,yiming
chrX,424103,424803,YJL006C,100,-,CTK2,yiming
chrX,424451,425151,YJL005W,100,+,CYR1,yiming
chrX,432194,432638,YJL004C,100,-,SYS1,yiming
chrX,432194,432638,YJL003W,100,+,COX16,yiming
chrX,434645,435157,YJL002C,100,-,OST1,yiming
chrX,434645,435157,YJL001W,100,+,PRE3,yiming
chrX,436096,436796,YJR001W,100,+,AVT1,yiming
chrX,438604,438858,YJR002W,100,+,MPP10,yiming
chrX,442546,442902,YJR003C,100,-,MRX12,yiming
chrX,444854,445554,YJR004C,100,-,SAG1,yiming
chrX,445216,445916,YJR005W,100,+,APL1,yiming
chrX,448751,449195,YJR005C-A,100,-,LSO1,yiming
chrX,448751,449195,YJR006W,100,+,POL31,yiming
chrX,450658,451013,YJR007W,100,+,SUI2,yiming
chrX,451927,452423,YJR008W,100,+,MHO1,yiming
chrX,454674,455374,YJR009C,100,-,TDH2,yiming
chrX,455532,456232,YJR010W,100,+,MET3,yiming
chrX,458354,458634,YJR010C-A,100,-,SPC1,yiming
chrX,459419,459788,YJR011C,100,-,YJR011C,yiming
chrX,459675,460375,YJR013W,100,+,GPI14,yiming
chrX,460411,461111,YJR012C,100,-,YJR012C,yiming
chrX,461586,461822,YJR014W,100,+,TMA22,yiming
chrX,462418,462714,YJR015W,100,+,YJR015W,yiming
chrX,466201,466514,YJR016C,100,-,ILV3,yiming
chrX,466201,466779,YJR018W,100,+,YJR018W,yiming
chrX,467026,467225,YJR017C,100,-,ESS1,yiming
chrX,467294,467994,YJR020W,100,+,YJR020W,yiming
chrX,468274,468548,YJR019C,100,-,TES1,yiming
chrX,469572,469777,YJR021C,100,-,REC107,yiming
chrX,469572,469777,YJR022W,100,+,LSM8,yiming
chrX,470198,470223,YJR023C,100,-,YJR023C,yiming
chrX,470957,471131,YJR024C,100,-,MDE1,yiming
chrX,471664,472364,YJR025C,100,-,BNA1,yiming
chrX,472053,472753,YJR026W,100,+,YJR026W,yiming
chrX,472053,472753,YJR027W,100,+,YJR027W,yiming
chrX,478021,478337,YJR028W,100,+,YJR028W,yiming
chrX,478021,478337,YJR029W,100,+,YJR029W,yiming
chrX,486189,486579,unknown_389,100,-,RBH2,yiming
chrX,490805,491074,YJR031C,100,-,GEA1,yiming
chrX,490805,491074,YJR032W,100,+,CPR7,yiming
chrX,496444,496676,YJR033C,100,-,RAV1,yiming
chrX,496444,496676,YJR034W,100,+,PET191,yiming
chrX,497002,497348,YJR035W,100,+,RAD26,yiming
chrX,502395,503095,YJR037W,100,+,YJR037W,yiming
chrX,503384,503703,YJR036C,100,-,HUL4,yiming
chrX,503478,503929,MLO127,100,+,MLO127,yiming
chrX,504065,504765,YJR038C,100,-,YJR038C,yiming
chrX,507294,507739,YJR040W,100,+,GEF1,yiming
chrX,513756,514048,YJR041C,100,-,URB2,yiming
chrX,513756,514048,YJR042W,100,+,NUP85,yiming
chrX,517506,518206,YJR043C,100,-,POL32,yiming
chrX,519178,519631,YJR044C,100,-,VPS55,yiming
chrX,521595,522041,YJR045C,100,-,SSC1,yiming
chrX,521595,522041,YJR046W,100,+,TAH11,yiming
chrX,525374,526074,YJR047C,100,-,ANB1,yiming
chrX,525628,526328,YJR048W,100,+,CYC1,yiming
chrX,528469,528690,YJR049C,100,-,UTR1,yiming
chrX,528469,528690,YJR050W,100,+,ISY1,yiming
chrX,529397,529854,YJR051W,100,+,OSM1,yiming
chrX,531359,532055,YJR052W,100,+,RAD7,yiming
chrX,533752,534020,YJR053W,100,+,BFA1,yiming
chrX,535744,536049,YJR054W,100,+,KCH1,yiming
chrX,538065,538765,YJR055W,100,+,HIT1,yiming
chrX,542495,543195,YJR056C,100,-,YJR056C,yiming
chrX,543355,544055,YJR057W,100,+,CDC8,yiming
chrX,545168,545780,YJR058C,100,-,APS2,yiming
chrX,545168,545780,YJR059W,100,+,PTK2,yiming
chrX,548236,548752,YJR060W,100,+,CBF1,yiming
chrX,549807,550504,unknown_420,100,+,MNN14,yiming
chrX,554842,555188,YJR062C,100,-,NTA1,yiming
chrX,554842,555188,YJR063W,100,+,RPA12,yiming
chrX,555565,555907,YJR064W,100,+,CCT5,yiming
chrX,559151,559409,YJR065C,100,-,ARP3,yiming
chrX,559151,559409,YJR066W,100,+,TOR1,yiming
chrX,567437,567636,YJR067C,100,-,YAE1,yiming
chrX,567437,567636,YJR068W,100,+,RFC2,yiming
chrX,569392,569614,YJR069C,100,-,HAM1,yiming
chrX,569698,570398,YJR071W,100,+,YJR071W,yiming
chrX,570591,570960,YJR070C,100,-,LIA1,yiming
chrX,572117,572308,YJR072C,100,-,NPA3,yiming
chrX,572928,573088,YJR073C,100,-,OPI3,yiming
chrX,572928,573088,YJR074W,100,+,MOG1,yiming
chrX,573744,573974,YJR075W,100,+,HOC1,yiming
chrX,576594,577248,YJR076C,100,-,CDC11,yiming
chrX,578183,578853,YJR077C,100,-,MIR1,yiming
chrX,578183,578853,YJR078W,100,+,BNA2,yiming
chrX,579498,580198,YJR079W,100,+,YJR079W,yiming
chrX,581609,581907,YJR080C,100,-,AIM24,yiming
chrX,582248,582601,YJR082C,100,-,EAF6,yiming
chrX,583530,583726,YJR083C,100,-,ACF4,yiming
chrX,583530,583726,YJR084W,100,+,YJR084W,yiming
chrX,585430,586061,unknown_443,100,-,TMH11,yiming
chrX,585430,586061,YJR086W,100,+,STE18,yiming
chrX,585693,586393,YJR087W,100,+,YJR087W,yiming
chrX,587366,587711,YJR088C,100,-,EMC2,yiming
chrX,587366,587711,YJR089W,100,+,BIR1,yiming
chrX,594320,595020,YJR090C,100,-,GRR1,yiming
chrX,598329,598728,YJR091C,100,-,JSN1,yiming
chrX,598329,598728,YJR092W,100,+,BUD4,yiming
chrX,604196,604562,YJR093C,100,-,FIP1,yiming
chrX,605644,606344,YJR094C,100,-,IME1,yiming
chrX,607598,608298,YJR094W-A,100,+,RPL43B,yiming
chrX,609066,609766,YJR095W,100,+,SFC1,yiming
chrX,610734,611188,YJR096W,100,+,YJR096W,yiming
chrX,612036,612406,YJR097W,100,+,JJJ3,yiming
chrX,615146,615566,YJR098C,100,-,YJR098C,yiming
chrX,615146,615566,YJR099W,100,+,YUH1,yiming
chrX,617324,618024,YJR100C,100,-,AIM25,yiming
chrX,617524,618224,YJR101W,100,+,RSM26,yiming
chrX,619755,620455,YJR102C,100,-,VPS25,yiming
chrX,620044,620744,YJR103W,100,+,URA8,yiming
chrX,623003,623570,YJR104C,100,-,SOD1,yiming
chrX,623003,623570,YJR105W,100,+,ADO1,yiming
chrX,624592,624827,YJR106W,100,+,ECM27,yiming
chrX,627004,627330,YJR107W,100,+,LIH1,yiming
chrX,628316,628703,YJR108W,100,+,ABM1,yiming
chrX,632932,633606,YJR109C,100,-,CPA2,yiming
chrX,632932,633606,YJR110W,100,+,YMR1,yiming
chrX,636697,637021,unknown_470,100,-,PXP2,yiming
chrX,636697,637021,YJR112W,100,+,NNF1,yiming
chrX,637626,637781,YJR112W-A,100,+,YJR112W-A,yiming
chrX,638159,638650,YJR114W,100,+,YJR114W,yiming
