chr,start,end,depth,strand,annotation,sample
chrI,6561,6562,6,*,*,dsir4
chrI,6563,6564,1,*,*,dsir4
chrI,6690,6691,1,*,*,dsir4
chrI,6704,6705,2,*,*,dsir4
chrI,6705,6706,2,*,*,dsir4
chrI,6718,6719,1,*,*,dsir4
chrI,6725,6726,17,*,*,dsir4
chrI,6802,6803,16,*,*,dsir4
chrI,6874,6875,6,*,*,dsir4
chrI,7046,7047,81,*,*,dsir4
chrI,7260,7261,3,*,*,dsir4
chrI,7511,7512,3,*,*,dsir4
chrI,7641,7642,1,*,*,dsir4
chrI,7808,7809,18,*,*,dsir4
chrI,7867,7868,3,*,*,dsir4
chrI,7886,7887,3,*,*,dsir4
chrI,7922,7923,27,*,*,dsir4
chrI,8023,8024,6,*,*,dsir4
chrI,8042,8043,14,*,*,dsir4
chrI,8049,8050,1,*,*,dsir4
chrI,8059,8060,1,*,*,dsir4
chrI,8069,8070,4,*,*,dsir4
chrI,8409,8410,1,*,*,dsir4
chrI,8536,8537,11,*,*,dsir4
chrI,8656,8657,4,*,*,dsir4
chrI,8931,8932,3,*,*,dsir4
chrI,9109,9110,1,*,*,dsir4
chrI,9189,9190,1,*,*,dsir4
chrI,9200,9201,6,*,*,dsir4
chrI,9295,9296,40,*,*,dsir4
chrI,9305,9306,72,*,*,dsir4
chrI,9436,9437,13,*,*,dsir4
chrI,9640,9641,2,*,*,dsir4
chrI,9642,9643,4,*,*,dsir4
chrI,9679,9680,5,*,*,dsir4
chrI,9798,9799,33,*,*,dsir4
chrI,9884,9885,19,*,*,dsir4
chrI,10092,10093,1,*,*,dsir4
chrI,10347,10348,5,*,*,dsir4
chrI,10372,10373,9,*,*,dsir4
chrI,11127,11128,2,*,*,dsir4
chrI,11172,11173,3,*,*,dsir4
chrI,11181,11182,4,*,*,dsir4
chrI,11181,11182,3,*,*,dsir4
chrI,11193,11194,2,*,*,dsir4
chrI,11245,11246,2,*,*,dsir4
chrI,11412,11413,1,*,*,dsir4
chrI,11661,11662,102,*,*,dsir4
chrI,12067,12068,87,*,*,dsir4
chrI,13173,13174,10,*,*,dsir4
chrI,14248,14249,1,*,*,dsir4
chrI,14274,14275,1,*,*,dsir4
chrI,14534,14535,3,*,*,dsir4
chrI,14724,14725,1,*,*,dsir4
chrI,14738,14739,1,*,*,dsir4
chrI,14738,14739,1,*,*,dsir4
chrI,14812,14813,1,*,*,dsir4
chrI,14819,14820,21,*,*,dsir4
chrI,14855,14856,1,*,*,dsir4
chrI,14865,14866,1,*,*,dsir4
chrI,14866,14867,5,*,*,dsir4
chrI,15895,15896,8,*,*,dsir4
chrI,15904,15905,3,*,*,dsir4
chrI,17034,17035,8,*,*,dsir4
chrI,17082,17083,2,*,*,dsir4
chrI,17657,17658,7,*,*,dsir4
chrI,17887,17888,3,*,*,dsir4
chrI,17930,17931,2,*,*,dsir4
chrI,17955,17956,13,*,*,dsir4
chrI,18001,18002,3,*,*,dsir4
chrI,18162,18163,15,*,*,dsir4
chrI,18265,18266,1,*,*,dsir4
chrI,19254,19255,1,*,*,dsir4
chrI,20279,20280,1,*,*,dsir4
chrI,20551,20552,10,*,*,dsir4
chrI,20610,20611,5,*,*,dsir4
chrI,20690,20691,5,*,*,dsir4
chrI,20932,20933,3,*,*,dsir4
chrI,20970,20971,1,*,*,dsir4
chrI,20984,20985,4,*,*,dsir4
chrI,21638,21639,3,*,*,dsir4
chrI,21663,21664,1,*,*,dsir4
chrI,21689,21690,4,*,*,dsir4
chrI,21882,21883,1,*,*,dsir4
chrI,22909,22910,1,*,*,dsir4
chrI,23354,23355,2,*,*,dsir4
chrI,23394,23395,1,*,*,dsir4
chrI,23682,23683,10,*,*,dsir4
chrI,23707,23708,4,*,*,dsir4
chrI,23750,23751,3,*,*,dsir4
chrI,23752,23753,2,*,*,dsir4
chrI,23778,23779,8,*,*,dsir4
chrI,23894,23895,94,*,*,dsir4
chrI,24499,24500,3,*,*,dsir4
chrI,24605,24606,37,*,*,dsir4
chrI,27702,27703,1,*,*,dsir4
chrI,28067,28068,3,*,*,dsir4
chrI,28180,28181,10,*,*,dsir4
chrI,28180,28181,44,*,*,dsir4
chrI,28308,28309,1,*,*,dsir4
chrI,28486,28487,8,*,*,dsir4
chrI,28673,28674,1,*,*,dsir4
chrI,29058,29059,109,*,*,dsir4
chrI,29145,29146,10,*,*,dsir4
chrI,29149,29150,1,*,*,dsir4
chrI,29348,29349,7,*,*,dsir4
chrI,29350,29351,1,*,*,dsir4
chrI,29478,29479,2,*,*,dsir4
chrI,29574,29575,5,*,*,dsir4
chrI,29599,29600,4,*,*,dsir4
chrI,29600,29601,1,*,*,dsir4
chrI,29674,29675,2,*,*,dsir4
chrI,29694,29695,14,*,*,dsir4
chrI,29730,29731,92,*,*,dsir4
chrI,29732,29733,7,*,*,dsir4
chrI,29802,29803,116,*,*,dsir4
chrI,29841,29842,9,*,*,dsir4
chrI,29900,29901,3,*,*,dsir4
chrI,29942,29943,8,*,*,dsir4
chrI,29951,29952,11,*,*,dsir4
chrI,29961,29962,1,*,*,dsir4
chrI,29962,29963,3,*,*,dsir4
chrI,30000,30001,48,*,*,dsir4
chrI,30046,30047,49,*,*,dsir4
chrI,30065,30066,18,*,*,dsir4
chrI,30200,30201,19,*,*,dsir4
chrI,30208,30209,11,*,*,dsir4
chrI,30462,30463,65,*,*,dsir4
chrI,30729,30730,7,*,*,dsir4
chrI,30859,30860,19,*,*,dsir4
chrI,30915,30916,100,*,*,dsir4
chrI,30920,30921,1,*,*,dsir4
chrI,31020,31021,2,*,*,dsir4
chrI,31031,31032,7,*,*,dsir4
chrI,31043,31044,14,*,*,dsir4
chrI,31061,31062,2,*,*,dsir4
chrI,31174,31175,11,*,*,dsir4
chrI,31202,31203,2,*,*,dsir4
chrI,31228,31229,16,*,*,dsir4
chrI,31262,31263,1,*,*,dsir4
chrI,31264,31265,4,*,*,dsir4
chrI,31302,31303,1,*,*,dsir4
chrI,31467,31468,14,*,*,dsir4
chrI,31562,31563,29,*,*,dsir4
chrI,31595,31596,16,*,*,dsir4
chrI,31656,31657,11,*,*,dsir4
chrI,31753,31754,31,*,*,dsir4
chrI,32214,32215,1,*,*,dsir4
chrI,32214,32215,619,*,*,dsir4
chrI,32357,32358,6,*,*,dsir4
chrI,32383,32384,36,*,*,dsir4
chrI,32542,32543,32,*,*,dsir4
chrI,32548,32549,10,*,*,dsir4
chrI,32567,32568,27,*,*,dsir4
chrI,32598,32599,282,*,*,dsir4
chrI,32609,32610,2,*,*,dsir4
chrI,32651,32652,140,*,*,dsir4
chrI,32655,32656,1,*,*,dsir4
chrI,32661,32662,82,*,*,dsir4
chrI,32667,32668,16,*,*,dsir4
chrI,32670,32671,14,*,*,dsir4
chrI,32686,32687,37,*,*,dsir4
chrI,32728,32729,3,*,*,dsir4
chrI,32753,32754,33,*,*,dsir4
chrI,32756,32757,1,*,*,dsir4
chrI,32759,32760,11,*,*,dsir4
chrI,32767,32768,10,*,*,dsir4
chrI,32777,32778,22,*,*,dsir4
chrI,32793,32794,6,*,*,dsir4
chrI,32797,32798,80,*,*,dsir4
chrI,32828,32829,1,*,*,dsir4
chrI,32910,32911,1,*,*,dsir4
chrI,32918,32919,20,*,*,dsir4
chrI,32967,32968,58,*,*,dsir4
chrI,32967,32968,64,*,*,dsir4
chrI,32967,32968,4,*,*,dsir4
chrI,32978,32979,23,*,*,dsir4
chrI,32978,32979,13,*,*,dsir4
chrI,32989,32990,11,*,*,dsir4
chrI,32989,32990,37,*,*,dsir4
chrI,32992,32993,5,*,*,dsir4
chrI,33012,33013,134,*,*,dsir4
chrI,33016,33017,16,*,*,dsir4
chrI,33017,33018,17,*,*,dsir4
chrI,33021,33022,1,*,*,dsir4
chrI,33021,33022,115,*,*,dsir4
chrI,33108,33109,2,*,*,dsir4
chrI,33115,33116,6,*,*,dsir4
chrI,33127,33128,3,*,*,dsir4
chrI,33134,33135,1,*,*,dsir4
chrI,33139,33140,5,*,*,dsir4
chrI,33162,33163,2,*,*,dsir4
chrI,33179,33180,51,*,*,dsir4
chrI,33269,33270,1,*,*,dsir4
chrI,33279,33280,48,*,*,dsir4
chrI,33384,33385,2,*,*,dsir4
chrI,33412,33413,4,*,*,dsir4
chrI,33542,33543,6,*,*,dsir4
chrI,33755,33756,275,*,*,dsir4
chrI,33791,33792,3,*,*,dsir4
chrI,33793,33794,1,*,*,dsir4
chrI,33793,33794,141,*,*,dsir4
chrI,33820,33821,43,*,*,dsir4
chrI,33899,33900,101,*,*,dsir4
chrI,34006,34007,48,*,*,dsir4
chrI,34148,34149,1,*,*,dsir4
chrI,34190,34191,112,*,*,dsir4
chrI,34406,34407,8,*,*,dsir4
chrI,34414,34415,48,*,*,dsir4
chrI,34537,34538,29,*,*,dsir4
chrI,34589,34590,16,*,*,dsir4
chrI,34606,34607,3,*,*,dsir4
chrI,34643,34644,6,*,*,dsir4
chrI,34646,34647,3,*,*,dsir4
chrI,34658,34659,1,*,*,dsir4
chrI,34692,34693,18,*,*,dsir4
chrI,34707,34708,3,*,*,dsir4
chrI,34707,34708,1,*,*,dsir4
chrI,34729,34730,17,*,*,dsir4
chrI,34754,34755,25,*,*,dsir4
chrI,34757,34758,4,*,*,dsir4
chrI,34771,34772,55,*,*,dsir4
chrI,34780,34781,8,*,*,dsir4
chrI,34801,34802,108,*,*,dsir4
chrI,34838,34839,29,*,*,dsir4
chrI,34875,34876,52,*,*,dsir4
chrI,34883,34884,8,*,*,dsir4
chrI,34925,34926,302,*,*,dsir4
chrI,34926,34927,1,*,*,dsir4
chrI,34926,34927,53,*,*,dsir4
chrI,34976,34977,3,*,*,dsir4
chrI,35043,35044,5,*,*,dsir4
chrI,35043,35044,2,*,*,dsir4
chrI,35148,35149,8,*,*,dsir4
chrI,35253,35254,4,*,*,dsir4
chrI,35259,35260,4,*,*,dsir4
chrI,35316,35317,18,*,*,dsir4
chrI,35356,35357,1,*,*,dsir4
chrI,35643,35644,109,*,*,dsir4
chrI,35723,35724,13,*,*,dsir4
chrI,35724,35725,5,*,*,dsir4
chrI,35836,35837,4,*,*,dsir4
chrI,36036,36037,18,*,*,dsir4
chrI,36254,36255,21,*,*,dsir4
chrI,36393,36394,3,*,*,dsir4
chrI,36398,36399,2,*,*,dsir4
chrI,36528,36529,1,*,*,dsir4
chrI,37771,37772,11,*,*,dsir4
chrI,38061,38062,12,*,*,dsir4
chrI,38172,38173,55,*,*,dsir4
chrI,38206,38207,4,*,*,dsir4
chrI,38933,38934,1,*,*,dsir4
chrI,39019,39020,7,*,*,dsir4
chrI,39099,39100,6,*,*,dsir4
chrI,39123,39124,3,*,*,dsir4
chrI,39125,39126,7,*,*,dsir4
chrI,39129,39130,12,*,*,dsir4
chrI,39130,39131,4,*,*,dsir4
chrI,39133,39134,3,*,*,dsir4
chrI,39151,39152,1,*,*,dsir4
chrI,39174,39175,1,*,*,dsir4
chrI,39196,39197,10,*,*,dsir4
chrI,39384,39385,5,*,*,dsir4
chrI,40032,40033,31,*,*,dsir4
chrI,40476,40477,1,*,*,dsir4
chrI,40635,40636,11,*,*,dsir4
chrI,40638,40639,16,*,*,dsir4
chrI,40643,40644,2,*,*,dsir4
chrI,40648,40649,25,*,*,dsir4
chrI,40650,40651,1,*,*,dsir4
chrI,40997,40998,25,*,*,dsir4
chrI,41222,41223,56,*,*,dsir4
chrI,41494,41495,15,*,*,dsir4
chrI,41712,41713,16,*,*,dsir4
chrI,41980,41981,9,*,*,dsir4
chrI,42183,42184,2,*,*,dsir4
chrI,42430,42431,16,*,*,dsir4
chrI,42920,42921,9,*,*,dsir4
chrI,43158,43159,10,*,*,dsir4
chrI,43521,43522,93,*,*,dsir4
chrI,43551,43552,2,*,*,dsir4
chrI,43646,43647,31,*,*,dsir4
chrI,44221,44222,15,*,*,dsir4
chrI,44413,44414,9,*,*,dsir4
chrI,44889,44890,12,*,*,dsir4
chrI,45036,45037,28,*,*,dsir4
chrI,45114,45115,1,*,*,dsir4
chrI,45157,45158,3,*,*,dsir4
chrI,45165,45166,1,*,*,dsir4
chrI,45246,45247,1,*,*,dsir4
chrI,45280,45281,11,*,*,dsir4
chrI,45285,45286,16,*,*,dsir4
chrI,45305,45306,40,*,*,dsir4
chrI,45314,45315,30,*,*,dsir4
chrI,45343,45344,19,*,*,dsir4
chrI,45346,45347,21,*,*,dsir4
chrI,45352,45353,28,*,*,dsir4
chrI,45358,45359,4,*,*,dsir4
chrI,45383,45384,22,*,*,dsir4
chrI,45388,45389,1,*,*,dsir4
chrI,45388,45389,3,*,*,dsir4
chrI,45513,45514,4,*,*,dsir4
chrI,45523,45524,1,*,*,dsir4
chrI,45526,45527,2,*,*,dsir4
chrI,45527,45528,1,*,*,dsir4
chrI,45561,45562,1,*,*,dsir4
chrI,45580,45581,2,*,*,dsir4
chrI,45594,45595,5,*,*,dsir4
chrI,45595,45596,3,*,*,dsir4
chrI,45597,45598,3,*,*,dsir4
chrI,45601,45602,1,*,*,dsir4
chrI,45611,45612,3,*,*,dsir4
chrI,45616,45617,7,*,*,dsir4
chrI,45653,45654,2,*,*,dsir4
chrI,45655,45656,4,*,*,dsir4
chrI,45661,45662,2,*,*,dsir4
chrI,45662,45663,515,*,*,dsir4
chrI,45663,45664,2,*,*,dsir4
chrI,45676,45677,11,*,*,dsir4
chrI,45677,45678,1,*,*,dsir4
chrI,45680,45681,12,*,*,dsir4
chrI,45686,45687,2,*,*,dsir4
chrI,45694,45695,14,*,*,dsir4
chrI,45757,45758,2,*,*,dsir4
chrI,45851,45852,8,*,*,dsir4
chrI,45855,45856,23,*,*,dsir4
chrI,45908,45909,32,*,*,dsir4
chrI,45972,45973,2,*,*,dsir4
chrI,46184,46185,15,*,*,dsir4
chrI,46712,46713,6,*,*,dsir4
chrI,47761,47762,1,*,*,dsir4
chrI,48005,48006,7,*,*,dsir4
chrI,48109,48110,2,*,*,dsir4
chrI,48156,48157,22,*,*,dsir4
chrI,48336,48337,19,*,*,dsir4
chrI,48346,48347,6,*,*,dsir4
chrI,48372,48373,6,*,*,dsir4
chrI,48389,48390,7,*,*,dsir4
chrI,48390,48391,1,*,*,dsir4
chrI,48416,48417,2,*,*,dsir4
chrI,48430,48431,1,*,*,dsir4
chrI,48450,48451,1,*,*,dsir4
chrI,48452,48453,2,*,*,dsir4
chrI,48459,48460,1,*,*,dsir4
chrI,48463,48464,21,*,*,dsir4
chrI,48464,48465,13,*,*,dsir4
chrI,48493,48494,9,*,*,dsir4
chrI,48642,48643,19,*,*,dsir4
chrI,48779,48780,25,*,*,dsir4
chrI,48857,48858,11,*,*,dsir4
chrI,48973,48974,13,*,*,dsir4
chrI,49063,49064,12,*,*,dsir4
chrI,49152,49153,27,*,*,dsir4
chrI,49355,49356,8,*,*,dsir4
chrI,49355,49356,17,*,*,dsir4
chrI,49686,49687,2,*,*,dsir4
chrI,50300,50301,15,*,*,dsir4
chrI,51502,51503,7,*,*,dsir4
chrI,51909,51910,31,*,*,dsir4
chrI,52225,52226,27,*,*,dsir4
chrI,52361,52362,2,*,*,dsir4
chrI,52750,52751,2,*,*,dsir4
chrI,52761,52762,53,*,*,dsir4
chrI,52788,52789,14,*,*,dsir4
chrI,52931,52932,15,*,*,dsir4
chrI,53301,53302,24,*,*,dsir4
chrI,53362,53363,4,*,*,dsir4
chrI,53374,53375,5,*,*,dsir4
chrI,53518,53519,89,*,*,dsir4
chrI,53774,53775,146,*,*,dsir4
chrI,54131,54132,12,*,*,dsir4
chrI,54854,54855,21,*,*,dsir4
chrI,56818,56819,96,*,*,dsir4
chrI,56884,56885,4,*,*,dsir4
chrI,57473,57474,28,*,*,dsir4
chrI,57473,57474,1,*,*,dsir4
chrI,57593,57594,1,*,*,dsir4
chrI,57648,57649,84,*,*,dsir4
chrI,57814,57815,12,*,*,dsir4
chrI,58155,58156,8,*,*,dsir4
chrI,58480,58481,66,*,*,dsir4
chrI,58487,58488,1,*,*,dsir4
chrI,58506,58507,29,*,*,dsir4
chrI,58510,58511,14,*,*,dsir4
chrI,58511,58512,7,*,*,dsir4
chrI,58521,58522,7,*,*,dsir4
chrI,58621,58622,42,*,*,dsir4
chrI,59144,59145,56,*,*,dsir4
chrI,59190,59191,1,*,*,dsir4
chrI,59190,59191,77,*,*,dsir4
chrI,60210,60211,34,*,*,dsir4
chrI,60291,60292,3,*,*,dsir4
chrI,60293,60294,194,*,*,dsir4
chrI,60641,60642,13,*,*,dsir4
chrI,61049,61050,19,*,*,dsir4
chrI,61067,61068,14,*,*,dsir4
chrI,61096,61097,26,*,*,dsir4
chrI,61116,61117,16,*,*,dsir4
chrI,61133,61134,1,*,*,dsir4
chrI,61134,61135,2,*,*,dsir4
chrI,61153,61154,17,*,*,dsir4
chrI,61200,61201,21,*,*,dsir4
chrI,61205,61206,14,*,*,dsir4
chrI,61240,61241,23,*,*,dsir4
chrI,62250,62251,2,*,*,dsir4
chrI,62250,62251,58,*,*,dsir4
chrI,62611,62612,1,*,*,dsir4
chrI,62625,62626,1,*,*,dsir4
chrI,62695,62696,5,*,*,dsir4
chrI,62696,62697,2,*,*,dsir4
chrI,62719,62720,19,*,*,dsir4
chrI,62729,62730,3,*,*,dsir4
chrI,62917,62918,55,*,*,dsir4
chrI,63318,63319,106,*,*,dsir4
chrI,63680,63681,3,*,*,dsir4
chrI,64596,64597,7,*,*,dsir4
chrI,64627,64628,30,*,*,dsir4
chrI,65180,65181,19,*,*,dsir4
chrI,65352,65353,12,*,*,dsir4
chrI,65498,65499,2,*,*,dsir4
chrI,66723,66724,39,*,*,dsir4
chrI,67376,67377,2,*,*,dsir4
chrI,67699,67700,1,*,*,dsir4
chrI,67779,67780,7,*,*,dsir4
chrI,67800,67801,4,*,*,dsir4
chrI,67877,67878,2,*,*,dsir4
chrI,68025,68026,6,*,*,dsir4
chrI,68025,68026,1,*,*,dsir4
chrI,68025,68026,5,*,*,dsir4
chrI,68026,68027,35,*,*,dsir4
chrI,68026,68027,6,*,*,dsir4
chrI,68036,68037,11,*,*,dsir4
chrI,68037,68038,3,*,*,dsir4
chrI,68045,68046,1,*,*,dsir4
chrI,68064,68065,32,*,*,dsir4
chrI,68129,68130,4,*,*,dsir4
chrI,68129,68130,2,*,*,dsir4
chrI,68164,68165,82,*,*,dsir4
chrI,68187,68188,1,*,*,dsir4
chrI,68224,68225,300,*,*,dsir4
chrI,68224,68225,1,*,*,dsir4
chrI,68224,68225,31,*,*,dsir4
chrI,68236,68237,2,*,*,dsir4
chrI,68237,68238,8,*,*,dsir4
chrI,68248,68249,8,*,*,dsir4
chrI,68263,68264,4,*,*,dsir4
chrI,68267,68268,15,*,*,dsir4
chrI,68268,68269,7,*,*,dsir4
chrI,68269,68270,18,*,*,dsir4
chrI,68278,68279,4,*,*,dsir4
chrI,68280,68281,23,*,*,dsir4
chrI,68282,68283,1,*,*,dsir4
chrI,68283,68284,18,*,*,dsir4
chrI,68298,68299,8,*,*,dsir4
chrI,68301,68302,1,*,*,dsir4
chrI,68313,68314,11,*,*,dsir4
chrI,68315,68316,68,*,*,dsir4
chrI,68327,68328,8,*,*,dsir4
chrI,68329,68330,12,*,*,dsir4
chrI,68333,68334,2,*,*,dsir4
chrI,68340,68341,11,*,*,dsir4
chrI,68340,68341,8,*,*,dsir4
chrI,68342,68343,2,*,*,dsir4
chrI,68360,68361,55,*,*,dsir4
chrI,68360,68361,1,*,*,dsir4
chrI,68379,68380,52,*,*,dsir4
chrI,68406,68407,6,*,*,dsir4
chrI,68602,68603,10,*,*,dsir4
chrI,68605,68606,3,*,*,dsir4
chrI,68619,68620,6,*,*,dsir4
chrI,68630,68631,4,*,*,dsir4
chrI,68635,68636,15,*,*,dsir4
chrI,68638,68639,4,*,*,dsir4
chrI,68650,68651,44,*,*,dsir4
chrI,68655,68656,10,*,*,dsir4
chrI,68670,68671,1,*,*,dsir4
chrI,68685,68686,7,*,*,dsir4
chrI,68695,68696,2,*,*,dsir4
chrI,68703,68704,47,*,*,dsir4
chrI,68710,68711,69,*,*,dsir4
chrI,68733,68734,2,*,*,dsir4
chrI,68780,68781,57,*,*,dsir4
chrI,68780,68781,1,*,*,dsir4
chrI,68791,68792,38,*,*,dsir4
chrI,68803,68804,51,*,*,dsir4
chrI,68827,68828,4,*,*,dsir4
chrI,68841,68842,66,*,*,dsir4
chrI,68857,68858,285,*,*,dsir4
chrI,68864,68865,31,*,*,dsir4
chrI,68867,68868,2,*,*,dsir4
chrI,68869,68870,205,*,*,dsir4
chrI,68892,68893,5,*,*,dsir4
chrI,68895,68896,9,*,*,dsir4
chrI,68895,68896,1,*,*,dsir4
chrI,68923,68924,1,*,*,dsir4
chrI,68937,68938,1,*,*,dsir4
chrI,68956,68957,15,*,*,dsir4
chrI,68965,68966,13,*,*,dsir4
chrI,68975,68976,23,*,*,dsir4
chrI,68986,68987,24,*,*,dsir4
chrI,68993,68994,6,*,*,dsir4
chrI,69025,69026,21,*,*,dsir4
chrI,69036,69037,462,*,*,dsir4
chrI,69147,69148,2,*,*,dsir4
chrI,69149,69150,59,*,*,dsir4
chrI,69195,69196,1,*,*,dsir4
chrI,69273,69274,12,*,*,dsir4
chrI,69296,69297,47,*,*,dsir4
chrI,69316,69317,17,*,*,dsir4
chrI,69529,69530,6,*,*,dsir4
chrI,69544,69545,3,*,*,dsir4
chrI,69546,69547,8,*,*,dsir4
chrI,69560,69561,6,*,*,dsir4
chrI,69562,69563,7,*,*,dsir4
chrI,69563,69564,1,*,*,dsir4
chrI,69617,69618,4,*,*,dsir4
chrI,69623,69624,4,*,*,dsir4
chrI,69625,69626,20,*,*,dsir4
chrI,69649,69650,1,*,*,dsir4
chrI,69655,69656,1,*,*,dsir4
chrI,69660,69661,80,*,*,dsir4
chrI,69678,69679,1,*,*,dsir4
chrI,69687,69688,19,*,*,dsir4
chrI,69692,69693,8,*,*,dsir4
chrI,69698,69699,3,*,*,dsir4
chrI,69701,69702,28,*,*,dsir4
chrI,69704,69705,1,*,*,dsir4
chrI,69709,69710,39,*,*,dsir4
chrI,69769,69770,13,*,*,dsir4
chrI,69770,69771,55,*,*,dsir4
chrI,69778,69779,61,*,*,dsir4
chrI,69778,69779,54,*,*,dsir4
chrI,69778,69779,1,*,*,dsir4
chrI,69831,69832,1,*,*,dsir4
chrI,69837,69838,5,*,*,dsir4
chrI,69843,69844,50,*,*,dsir4
chrI,69846,69847,60,*,*,dsir4
chrI,69853,69854,112,*,*,dsir4
chrI,69857,69858,2,*,*,dsir4
chrI,69864,69865,12,*,*,dsir4
chrI,69869,69870,10,*,*,dsir4
chrI,69888,69889,8,*,*,dsir4
chrI,69898,69899,1,*,*,dsir4
chrI,69903,69904,1,*,*,dsir4
chrI,69908,69909,6,*,*,dsir4
chrI,69914,69915,5,*,*,dsir4
chrI,69917,69918,1,*,*,dsir4
chrI,69921,69922,4,*,*,dsir4
chrI,69926,69927,1,*,*,dsir4
chrI,69934,69935,3,*,*,dsir4
chrI,69938,69939,8,*,*,dsir4
chrI,70031,70032,5,*,*,dsir4
chrI,70109,70110,17,*,*,dsir4
chrI,70109,70110,9,*,*,dsir4
chrI,70133,70134,7,*,*,dsir4
chrI,70147,70148,1,*,*,dsir4
chrI,70199,70200,1,*,*,dsir4
chrI,70204,70205,2,*,*,dsir4
chrI,70206,70207,96,*,*,dsir4
chrI,70217,70218,4,*,*,dsir4
chrI,70257,70258,1,*,*,dsir4
chrI,70276,70277,6,*,*,dsir4
chrI,70321,70322,3,*,*,dsir4
chrI,70401,70402,6,*,*,dsir4
chrI,70404,70405,1,*,*,dsir4
chrI,70414,70415,8,*,*,dsir4
chrI,70422,70423,2,*,*,dsir4
chrI,70431,70432,2,*,*,dsir4
chrI,70444,70445,1,*,*,dsir4
chrI,70621,70622,1,*,*,dsir4
chrI,70656,70657,1,*,*,dsir4
chrI,70733,70734,1,*,*,dsir4
chrI,70734,70735,27,*,*,dsir4
chrI,70745,70746,45,*,*,dsir4
chrI,70755,70756,45,*,*,dsir4
chrI,70800,70801,4,*,*,dsir4
chrI,70803,70804,4,*,*,dsir4
chrI,70814,70815,2,*,*,dsir4
chrI,70950,70951,34,*,*,dsir4
chrI,70978,70979,28,*,*,dsir4
chrI,70988,70989,18,*,*,dsir4
chrI,70996,70997,48,*,*,dsir4
chrI,71013,71014,2,*,*,dsir4
chrI,71020,71021,83,*,*,dsir4
chrI,71032,71033,2,*,*,dsir4
chrI,71032,71033,9,*,*,dsir4
chrI,71036,71037,1,*,*,dsir4
chrI,71036,71037,710,*,*,dsir4
chrI,71036,71037,1,*,*,dsir4
chrI,71066,71067,1,*,*,dsir4
chrI,71070,71071,12,*,*,dsir4
chrI,71082,71083,1,*,*,dsir4
chrI,71082,71083,1,*,*,dsir4
chrI,71083,71084,140,*,*,dsir4
chrI,71084,71085,236,*,*,dsir4
chrI,71084,71085,137,*,*,dsir4
chrI,71086,71087,2,*,*,dsir4
chrI,71100,71101,1,*,*,dsir4
chrI,71103,71104,2,*,*,dsir4
chrI,71170,71171,4,*,*,dsir4
chrI,71197,71198,6,*,*,dsir4
chrI,71236,71237,1,*,*,dsir4
chrI,71246,71247,129,*,*,dsir4
chrI,71260,71261,2,*,*,dsir4
chrI,71284,71285,4,*,*,dsir4
chrI,71308,71309,160,*,*,dsir4
chrI,71316,71317,1,*,*,dsir4
chrI,71350,71351,14,*,*,dsir4
chrI,71395,71396,23,*,*,dsir4
chrI,71397,71398,6,*,*,dsir4
chrI,71402,71403,49,*,*,dsir4
chrI,71407,71408,4,*,*,dsir4
chrI,71418,71419,12,*,*,dsir4
